,code,days
416,705,4759
417,600346,3703
418,2504,1466
419,2061,2501
420,601788,1768
421,600693,5599
422,626,4843
423,600022,3020
424,2470,1509
425,600085,4707
426,300519,105
427,2747,415
428,2718,691
429,300395,540
430,300125,1492
431,300324,1088
432,600894,5014
433,8,5634
434,600731,4924
435,600269,4009
436,756,4679
437,987,3966
438,600742,4908
439,300123,1498
440,300206,1364
441,300563,11
442,600573,3343
443,2302,1719
444,300119,1502
445,300252,1281
446,300376,692
447,2140,2283
448,2100,2412
449,2116,2378
450,421,4922
451,300283,1186
452,600432,3213
453,7,5634
454,830,4433
455,2404,1592
456,300150,1442
457,2029,2992
458,2656,1156
459,600267,3961
460,2712,694
461,338,2331
462,600510,3510
463,600197,4161
464,300154,1437
465,1696,4784
466,2750,413
467,2234,2077
468,600655,5634
469,600819,5550
470,600186,4421
471,4,5634
472,2584,1335
473,300464,359
474,600759,4880
475,600879,5099
476,601688,1642
477,600233,3994
478,2081,2438
479,600815,5550
480,600105,4641
481,600557,3444
482,300432,416
483,2135,2314
484,600213,4173
485,600651,5634
486,600733,4914
487,600536,3532
488,300212,1355
489,600116,4681
490,300016,1721
491,600354,3125
492,2042,2817
493,2551,1401
494,2369,1630
495,2002,3022
496,2168,2234
497,409,4950
498,524,5601
499,2316,1693
500,300193,1384
501,166,449
502,2160,2255
503,45,5415
504,822,4458
505,300009,1721
506,600410,3060
507,300386,593
508,603393,49
509,300406,509
510,600276,3905
511,2144,2267
512,2457,1535
513,600159,4486
514,2630,1226
515,600728,4937
516,603015,428
517,600622,5634
518,600328,3858
519,600998,1478
520,2783,237
521,601515,1164
522,718,4761
523,300035,1681
524,2412,1582
525,2795,143
526,600278,3970
527,2402,1592
528,100,3122
529,300421,433
530,300129,1488
531,750,4699
532,2598,1311
533,300338,1055
534,2078,2440
535,300326,1085
536,2449,1547
537,300399,524
538,300087,1581
539,603399,1034
540,603159,70
541,2707,694
542,600741,4908
543,600535,3462
544,2184,2197
545,69,4654
546,601558,1427
547,665,4835
548,300426,433
549,2183,2200
550,600871,5252
551,2753,375
552,2716,691
553,697,4771
554,32,5616
555,2678,1095
556,300183,1404
557,601890,1438
558,601989,1688
559,600806,5569
560,788,4714
561,2247,2059
562,809,4471
563,2791,164
564,601599,1339
565,600360,3809
566,603808,393
567,2102,2409
568,300006,1721
569,2817,25
570,2243,2069
571,603909,103
572,600367,3807
573,2593,1318
574,300097,1539
575,34,5485
576,600738,4924
577,2473,1507
578,600892,5023
579,2285,1760
580,300222,1341
581,968,3984
582,300335,1067
583,600081,4703
584,2309,1701
585,2468,1509
586,715,4741
587,590,5053
588,600388,3853
589,600459,3293
590,2146,2264
591,600119,4568
592,2576,1359
593,600133,4558
594,300451,378
595,42,5388
596,601222,1289
597,600439,3254
598,300116,1513
599,599,4991
600,300370,694
601,300467,369
602,300327,1085
603,600735,4929
604,2117,2372
605,2724,506
606,2646,1197
607,2758,369
608,600190,4232
609,601127,112
610,2218,2130
611,600050,3435
612,600708,4965
613,2662,1148
614,2099,2412
615,899,4602
616,2040,2840
617,158,3962
618,603699,698
619,600576,3347
620,600301,3970
621,547,5593
622,600753,4884
623,793,4685
624,600183,4377
625,2681,1091
626,600385,3723
627,300141,1470
628,566,5473
629,600855,5494
630,859,4361
631,2307,1713
632,2573,1363
633,300445,391
634,600644,5634
635,601566,1338
636,2062,2501
637,829,4598
638,600285,3905
639,2238,2071
640,300450,376
641,600844,5525
642,2607,1287
643,600701,4972
644,2379,1619
645,601857,2206
646,812,4466
647,767,4719
648,600423,3249
649,2441,1555
650,782,4711
651,300313,1118
652,66,4706
653,600836,5536
654,600378,3845
655,601500,46
656,2411,1582
657,630,4849
658,2068,2479
659,300270,1248
660,300308,1129
661,688,4807
662,2334,1669
663,300558,16
664,2423,1575
665,300302,1140
666,600270,3854
667,600058,4727
668,995,3952
669,600652,5634
670,600584,3281
671,300220,1341
672,2283,1765
673,600433,3269
674,755,4705
675,300140,1470
676,910,4217
677,300403,509
678,2220,2130
679,2522,1450
680,601968,358
681,600444,3108
682,2088,2430
683,2079,2440
684,601008,2333
685,300398,524
686,300549,37
687,2083,2434
688,558,5485
689,300411,465
690,300144,1451
691,916,4154
692,300459,377
693,600122,4511
694,300523,83
695,603158,415
696,2245,2063
697,600288,3875
698,585,5079
699,600396,3801
700,2007,3022
701,543,5579
702,600242,3869
703,600558,3822
704,600195,4327
705,603858,7
706,601018,1498
707,428,4920
708,300484,169
709,638,4845
710,2197,2175
711,600486,3543
712,2667,1134
713,37,5446
714,600880,5099
715,600036,3555
716,300343,1051
717,603987,6
718,600877,5122
719,806,4513
720,2374,1628
721,601369,1600
722,2701,1005
723,503,5634
724,2572,1371
725,2021,3008
726,927,4198
727,979,3988
728,2133,2332
729,2513,1455
730,300384,567
731,601628,2405
732,600771,4860
733,2141,2277
734,2537,1430
735,838,4706
736,600198,4382
737,608,4890
738,600429,3207
739,2726,593
740,2699,1022
741,600056,4736
742,300251,1292
743,600690,5600
744,2815,34
745,2752,393
746,2670,1125
747,600984,3014
748,796,4703
749,2469,1509
750,6,5634
751,600026,3528
752,600677,5634
753,603168,589
754,300497,228
