,open,high,low,close
0,9.119000000000003,9.153500000000003,9.079000000000002,9.122500000000002
1,9.119000000000003,9.154500000000002,9.084500000000002,9.125500000000002
2,9.119500000000002,9.154500000000002,9.085000000000003,9.125500000000002
3,9.119500000000002,9.157000000000002,9.085500000000003,9.125500000000002
4,9.117,9.153500000000003,9.083000000000004,9.123500000000002
5,9.116500000000002,9.150500000000005,9.083000000000004,9.120000000000001
6,9.112500000000002,9.146500000000003,9.082000000000004,9.119000000000003
7,9.107500000000003,9.142000000000003,9.077000000000004,9.115000000000004
8,9.106500000000002,9.140500000000003,9.074500000000004,9.109500000000002
9,9.106500000000002,9.138500000000004,9.074500000000004,9.108500000000003
10,9.103500000000002,9.139000000000005,9.073000000000004,9.108500000000003
11,9.096500000000002,9.133000000000004,9.068000000000003,9.105000000000004
12,9.090000000000003,9.126000000000005,9.061000000000003,9.098500000000005
13,9.086000000000004,9.118000000000004,9.057500000000003,9.092500000000005
14,9.090500000000002,9.120500000000003,9.057000000000004,9.089000000000004
15,9.095500000000003,9.126500000000004,9.061500000000004,9.095000000000004
16,9.105500000000003,9.137000000000004,9.065500000000004,9.099000000000004
17,9.124000000000002,9.154000000000003,9.082000000000003,9.113500000000004
18,9.139500000000002,9.170500000000002,9.099500000000003,9.131000000000004
19,9.157,9.187000000000001,9.116000000000003,9.146500000000003
20,9.174,9.203000000000003,9.131500000000003,9.163500000000003
21,9.19,9.218000000000004,9.145500000000002,9.178000000000003
22,9.205,9.233500000000003,9.161000000000003,9.193000000000001
23,9.2245,9.251000000000005,9.178,9.209500000000002
24,9.2445,9.271000000000004,9.197000000000001,9.230500000000003
25,9.263,9.290500000000005,9.215,9.251000000000001
26,9.2805,9.310000000000004,9.2325,9.2695
27,9.300999999999998,9.330000000000004,9.252,9.289
28,9.315499999999998,9.346000000000004,9.267000000000001,9.309000000000001
29,9.328,9.358000000000004,9.279000000000002,9.323
30,9.341999999999999,9.371500000000003,9.293000000000003,9.335
31,9.362999999999998,9.392000000000003,9.309500000000003,9.351
32,9.381499999999999,9.412000000000003,9.329000000000004,9.372499999999999
33,9.406999999999998,9.434500000000003,9.348000000000003,9.391499999999999
34,9.424499999999998,9.455500000000004,9.369500000000002,9.416
35,9.449499999999999,9.479000000000003,9.385500000000004,9.432500000000001
36,9.4625,9.503000000000004,9.404500000000002,9.4585
37,9.452499999999999,9.508000000000004,9.395500000000004,9.464500000000001
38,9.439999999999998,9.504500000000004,9.383000000000004,9.4555
39,9.426999999999998,9.492500000000005,9.370500000000003,9.4425
40,9.410499999999999,9.478500000000006,9.356000000000003,9.4295
41,9.389499999999998,9.461000000000004,9.336500000000003,9.414000000000001
42,9.367499999999998,9.441500000000003,9.313000000000002,9.393500000000001
43,9.351499999999998,9.424500000000004,9.288500000000003,9.370500000000003
44,9.338999999999997,9.410500000000003,9.274500000000003,9.355000000000002
45,9.329999999999998,9.400000000000002,9.262500000000003,9.344000000000003
46,9.318499999999998,9.394500000000004,9.252000000000002,9.337000000000003
47,9.3,9.383000000000004,9.233500000000003,9.324500000000004
48,9.278,9.366000000000005,9.215000000000002,9.306500000000003
49,9.2635,9.353000000000005,9.191500000000001,9.285500000000003
50,9.243,9.336500000000004,9.171500000000002,9.271000000000004
51,9.214500000000001,9.310000000000006,9.149000000000003,9.250000000000004
52,9.1895,9.283500000000005,9.123500000000002,9.221500000000002
53,9.159,9.254500000000004,9.0995,9.196000000000003
54,9.131,9.224000000000006,9.073,9.166500000000003
55,9.099,9.192500000000006,9.0475,9.139000000000003
56,9.071,9.156500000000005,9.0205,9.107000000000003
57,9.058499999999999,9.130000000000006,9.007,9.081500000000002
58,9.049999999999999,9.112500000000006,8.995999999999999,9.067500000000003
59,9.036499999999998,9.106000000000005,8.982999999999999,9.060000000000002
60,9.019499999999997,9.093000000000007,8.9665,9.046500000000002
61,9.004999999999999,9.077000000000005,8.953,9.028500000000003
62,8.994999999999997,9.063000000000006,8.942,9.013500000000004
63,8.975999999999997,9.044000000000006,8.932500000000001,9.003000000000004
64,8.955499999999997,9.024000000000004,8.913,8.983500000000003
65,8.933499999999999,9.002500000000007,8.893,8.961500000000003
66,8.908999999999997,8.978500000000006,8.868,8.938000000000002
67,8.889499999999996,8.953000000000005,8.8505,8.913500000000003
68,8.874999999999996,8.934500000000005,8.835,8.894500000000003
69,8.850499999999997,8.910500000000006,8.820500000000001,8.878500000000003
70,8.830999999999998,8.886500000000007,8.8,8.854500000000002
71,8.812999999999997,8.869500000000007,8.781500000000001,8.836000000000002
72,8.795499999999995,8.855000000000008,8.761500000000002,8.8175
73,8.781499999999996,8.839500000000006,8.745500000000003,8.801
74,8.763499999999995,8.826500000000006,8.727000000000004,8.7895
75,8.741999999999996,8.806500000000005,8.708500000000004,8.7715
76,8.721999999999996,8.782500000000004,8.688000000000006,8.749500000000001
77,8.702999999999996,8.763000000000005,8.669500000000005,8.729000000000001
78,8.682999999999996,8.743000000000006,8.650500000000005,8.7105
79,8.755499999999996,8.814500000000004,8.723500000000005,8.783
80,8.834999999999997,8.890500000000005,8.802500000000004,8.859
81,8.920499999999997,8.974500000000004,8.882000000000003,8.938
82,9.007999999999997,9.062000000000005,8.968500000000004,9.026
83,9.094499999999998,9.148500000000004,9.055500000000004,9.113000000000001
84,9.179999999999996,9.234000000000005,9.140000000000004,9.199000000000002
85,9.263499999999997,9.318500000000004,9.222000000000003,9.2835
86,9.352499999999996,9.399500000000005,9.309500000000003,9.366000000000001
87,9.443499999999997,9.490500000000006,9.397500000000003,9.4545
